id,faction,nom,type,sous_type,cout,pv,puissance,mission,effet,note_design,source_factuelle,basique
USA-024,États-Unis,B-1B Lancer — Dissuasion conventionnelle,Appareil,Bombardier,7,12,7,2,"Attaque 7 — pénétration lourde. **Furtif.** Après avoir retiré un Verrouillage, infligez 1 dégât à un autre Appareil adverse exposé.","V = 12 + 1,5×7 + 2,5×2 + 2,0 + 1,5 − 0,0 = 31,0; cible T(7) = 31 (écart +0,0).",USAF — flotte active,False
USA-025,États-Unis,B-2A Spirit — Frappe à distance,Appareil,Bombardier furtif,8,15,9,3,Attaque 9 — charge stratégique. Cet Appareil ne peut pas intercepter un Appareil de coût 2 ou moins.,"V = 15 + 1,5×9 + 2,5×3 + 0,0 + 0,5 − 1,5 = 35,0; cible T(8) = 35 (écart +0,0).",USAF — flotte active,False
USA-026,États-Unis,B-2A Spirit — Dissuasion conventionnelle,Appareil,Bombardier furtif,8,14,8,2,"Attaque 8 — pénétration lourde. **Furtif.** Après avoir retiré un Verrouillage, infligez 1 dégât à un autre Appareil adverse exposé.","V = 14 + 1,5×8 + 2,5×2 + 2,0 + 1,5 − 0,0 = 34,5; cible T(8) = 35 (écart -0,5).",USAF — flotte active,False
USA-027,États-Unis,B-52H Stratofortress — Frappe à distance,Appareil,Bombardier,7,12,8,3,Attaque 8 — charge stratégique. Cet Appareil ne peut pas intercepter un Appareil de coût 2 ou moins.,"V = 12 + 1,5×8 + 2,5×3 + 0,0 + 0,5 − 1,5 = 30,5; cible T(7) = 31 (écart -0,5).",USAF — flotte active,False
USA-028,États-Unis,B-52H Stratofortress — Dissuasion conventionnelle,Appareil,Bombardier,7,12,7,2,"Attaque 7 — pénétration lourde. **Furtif.** Après avoir retiré un Verrouillage, infligez 1 dégât à un autre Appareil adverse exposé.","V = 12 + 1,5×7 + 2,5×2 + 2,0 + 1,5 − 0,0 = 31,0; cible T(7) = 31 (écart +0,0).",USAF — flotte active,False
USA-029,États-Unis,KC-46A Pegasus — Pont aérien de carburant,Appareil,Ravitailleur,4,14,1,1,"Attaque 1 — autoprotection. Au déploiement, redressez une Ressource.","V = 14 + 1,5×1 + 2,5×1 + 0,0 + 1,0 − 0,0 = 19,0; cible T(4) = 19 (écart +0,0).",USAF — flotte de mobilité,False
USA-030,États-Unis,KC-46A Pegasus — Ravitaillement en orbite,Appareil,Ravitailleur,4,11,1,2,"Attaque 1 — écran de soutien. **Réseau —** quand cet Appareil accomplit une Mission, un autre Appareil gagne +1 Puissance jusqu’à la fin du tour.","V = 11 + 1,5×1 + 2,5×2 + 0,0 + 1,5 − 0,0 = 19,0; cible T(4) = 19 (écart +0,0).",USAF — flotte de mobilité,False
USA-031,États-Unis,KC-135R Stratotanker — Pont aérien de carburant,Appareil,Ravitailleur,4,14,1,1,"Attaque 1 — autoprotection. Au déploiement, redressez une Ressource.","V = 14 + 1,5×1 + 2,5×1 + 0,0 + 1,0 − 0,0 = 19,0; cible T(4) = 19 (écart +0,0).",USAF — emploi officiel 2026,False
USA-032,États-Unis,KC-135R Stratotanker — Ravitaillement en orbite,Appareil,Ravitailleur,4,11,1,2,"Attaque 1 — écran de soutien. **Réseau —** quand cet Appareil accomplit une Mission, un autre Appareil gagne +1 Puissance jusqu’à la fin du tour.","V = 11 + 1,5×1 + 2,5×2 + 0,0 + 1,5 − 0,0 = 19,0; cible T(4) = 19 (écart +0,0).",USAF — emploi officiel 2026,False
USA-033,États-Unis,C-17A Globemaster III — Mobilité rapide,Appareil,Transport stratégique,5,14,2,2,"Attaque 2 — autodéfense. Le prochain Appareil de coût 3 ou moins que vous déployez ce tour coûte 1 de moins, minimum 1.","V = 14 + 1,5×2 + 2,5×2 + 0,0 + 1,5 − 0,0 = 23,5; cible T(5) = 23 (écart +0,5).",USAF — doctrine de mobilité,False
USA-034,États-Unis,C-17A Globemaster III — Largage tactique,Appareil,Transport stratégique,5,14,3,1,"Attaque 3 — couverture de zone. Au déploiement, vous pouvez reprendre en main un de vos Soutiens; si vous le faites, piochez une carte.","V = 14 + 1,5×3 + 2,5×1 + 0,0 + 1,5 − 0,0 = 22,5; cible T(5) = 23 (écart -0,5).",USAF — doctrine de mobilité,False
USA-035,États-Unis,C-130J Super Hercules — Mobilité rapide,Appareil,Transport tactique,4,11,1,2,"Attaque 1 — autodéfense. Le prochain Appareil de coût 3 ou moins que vous déployez ce tour coûte 1 de moins, minimum 1.","V = 11 + 1,5×1 + 2,5×2 + 0,0 + 1,5 − 0,0 = 19,0; cible T(4) = 19 (écart +0,0).",USAF — emploi officiel 2026,False
USA-036,États-Unis,C-130J Super Hercules — Largage tactique,Appareil,Transport tactique,4,12,2,1,"Attaque 2 — couverture de zone. Au déploiement, vous pouvez reprendre en main un de vos Soutiens; si vous le faites, piochez une carte.","V = 12 + 1,5×2 + 2,5×1 + 0,0 + 1,5 − 0,0 = 19,0; cible T(4) = 19 (écart +0,0).",USAF — emploi officiel 2026,False
USA-037,États-Unis,MC-130J Commando II — Appui spécialisé,Appareil,Opérations spéciales,4,10,3,1,"Attaque 3 — tir d’appui. **Blindage 1.** Après son Interception, infligez 1 dégât à un Appareil adverse exposé de coût 2 ou moins.","V = 10 + 1,5×3 + 2,5×1 + 1,5 + 1,0 − 0,0 = 19,5; cible T(4) = 19 (écart +0,5).",USAF — AFSOC,False
USA-038,États-Unis,MC-130J Commando II — Infiltration nocturne,Appareil,Opérations spéciales,4,8,2,2,"Attaque 2 — frappe nocturne. **Furtif.** Au déploiement, un autre Appareil gagne Agile jusqu’à votre prochain tour.","V = 8 + 1,5×2 + 2,5×2 + 2,0 + 1,0 − 0,0 = 19,0; cible T(4) = 19 (écart +0,0).",USAF — AFSOC,False
USA-039,États-Unis,AC-130J Ghostrider — Appui spécialisé,Appareil,Appui-feu,6,14,5,1,"Attaque 5 — tir d’appui. **Blindage 1.** Après son Interception, infligez 1 dégât à un Appareil adverse exposé de coût 2 ou moins.","V = 14 + 1,5×5 + 2,5×1 + 1,5 + 1,0 − 0,0 = 26,5; cible T(6) = 27 (écart -0,5).",USAF — AFSOC,False
USA-040,États-Unis,AC-130J Ghostrider — Infiltration nocturne,Appareil,Appui-feu,6,13,4,2,"Attaque 4 — frappe nocturne. **Furtif.** Au déploiement, un autre Appareil gagne Agile jusqu’à votre prochain tour.","V = 13 + 1,5×4 + 2,5×2 + 2,0 + 1,0 − 0,0 = 27,0; cible T(6) = 27 (écart +0,0).",USAF — AFSOC,False
USA-041,États-Unis,HC-130J Combat King II — Recherche et sauvetage,Appareil,Recherche et sauvetage,4,8,2,2,"Attaque 2 — escorte de récupération. **Agile.** Quand un autre de vos Appareils est détruit, vous pouvez défausser cet Appareil pour reprendre en main cet autre Appareil.","V = 8 + 1,5×2 + 2,5×2 + 1,0 + 2,0 − 0,0 = 19,0; cible T(4) = 19 (écart +0,0).",USAF — récupération de personnel,False
USA-042,États-Unis,HC-130J Combat King II — Alerte de récupération,Appareil,Recherche et sauvetage,4,9,3,1,"Attaque 3 — couverture d’urgence. **Décollage rapide.** Au déploiement, retirez 1 dégât d’un autre Appareil.","V = 9 + 1,5×3 + 2,5×1 + 2,0 + 1,0 − 0,0 = 19,0; cible T(4) = 19 (écart +0,0).",USAF — récupération de personnel,False
USA-043,États-Unis,E-3G Sentry — Veille avancée,Appareil,Alerte et contrôle,5,14,2,2,"Attaque 2 — autodéfense. Au déploiement, piochez une carte, puis défaussez une carte.","V = 14 + 1,5×2 + 2,5×2 + 0,0 + 1,0 − 0,0 = 23,0; cible T(5) = 23 (écart +0,0).",USAF — commandement et contrôle,False
USA-044,États-Unis,E-3G Sentry — Gestion de bataille,Appareil,Alerte et contrôle,5,14,1,2,"Attaque 1 — coordination défensive. **Réseau —** une fois par tour, quand un autre Appareil accomplit une Mission, regardez la première carte de votre deck; vous pouvez la placer dessous.","V = 14 + 1,5×1 + 2,5×2 + 0,0 + 2,0 − 0,0 = 22,5; cible T(5) = 23 (écart -0,5).",USAF — commandement et contrôle,False
USA-045,États-Unis,E-11A BACN — Veille avancée,Appareil,Relais de communications,4,12,1,2,"Attaque 1 — autodéfense. Au déploiement, piochez une carte, puis défaussez une carte.","V = 12 + 1,5×1 + 2,5×2 + 0,0 + 1,0 − 0,0 = 19,5; cible T(4) = 19 (écart +0,5).",USAF — relais BACN,False
USA-046,États-Unis,E-11A BACN — Gestion de bataille,Appareil,Relais de communications,4,10,1,2,"Attaque 1 — coordination défensive. **Réseau —** une fois par tour, quand un autre Appareil accomplit une Mission, regardez la première carte de votre deck; vous pouvez la placer dessous.","V = 10 + 1,5×1 + 2,5×2 + 0,0 + 2,0 − 0,0 = 18,5; cible T(4) = 19 (écart -0,5).",USAF — relais BACN,False
USA-047,États-Unis,RC-135V/W Rivet Joint — Reconnaissance persistante,Appareil,Renseignement électronique,5,14,2,2,"Attaque 2 — autodéfense. Quand cet Appareil accomplit une Mission, regardez la première carte de chaque deck.","V = 14 + 1,5×2 + 2,5×2 + 0,0 + 1,0 − 0,0 = 23,0; cible T(5) = 23 (écart +0,0).",USAF — flotte ISR,False
USA-048,États-Unis,RC-135V/W Rivet Joint — Désignation de cible,Appareil,Renseignement électronique,5,14,1,2,"Attaque 1 — surveillance armée. Au déploiement, placez un Verrouillage. Si la cible était déjà exposée, piochez puis défaussez une carte.","V = 14 + 1,5×1 + 2,5×2 + 0,0 + 2,0 − 0,0 = 22,5; cible T(5) = 23 (écart -0,5).",USAF — flotte ISR,False
USA-049,États-Unis,U-2S Dragon Lady — Reconnaissance persistante,Appareil,Reconnaissance,4,12,1,2,"Attaque 1 — autodéfense. Quand cet Appareil accomplit une Mission, regardez la première carte de chaque deck.","V = 12 + 1,5×1 + 2,5×2 + 0,0 + 1,0 − 0,0 = 19,5; cible T(4) = 19 (écart +0,5).",USAF — flotte ISR,False
USA-050,États-Unis,U-2S Dragon Lady — Désignation de cible,Appareil,Reconnaissance,4,10,1,2,"Attaque 1 — surveillance armée. Au déploiement, placez un Verrouillage. Si la cible était déjà exposée, piochez puis défaussez une carte.","V = 10 + 1,5×1 + 2,5×2 + 0,0 + 2,0 − 0,0 = 18,5; cible T(4) = 19 (écart -0,5).",USAF — flotte ISR,False
USA-051,États-Unis,RQ-4B Global Hawk — Patrouille sans équipage,Appareil,Drone de reconnaissance,4,10,3,1,"Attaque 3 — munition guidée. **Décollage rapide.** Si cet Appareil est détruit pendant une Interception, regardez la première carte de votre deck; vous pouvez la placer dessous.","V = 10 + 1,5×3 + 2,5×1 + 2,0 + 0,5 − 0,0 = 19,5; cible T(4) = 19 (écart +0,5).",USAF — flotte ISR,False
USA-052,États-Unis,RQ-4B Global Hawk — Relais autonome,Appareil,Drone de reconnaissance,4,10,2,2,"Attaque 2 — frappe télépilotée. **Réseau —** au déploiement, piochez une carte puis défaussez une carte.","V = 10 + 1,5×2 + 2,5×2 + 0,0 + 1,0 − 0,0 = 19,0; cible T(4) = 19 (écart +0,0).",USAF — flotte ISR,False
USA-053,États-Unis,MQ-9A Reaper — Patrouille sans équipage,Appareil,Drone armé,3,7,2,1,"Attaque 2 — munition guidée. **Décollage rapide.** Si cet Appareil est détruit pendant une Interception, regardez la première carte de votre deck; vous pouvez la placer dessous.","V = 7 + 1,5×2 + 2,5×1 + 2,0 + 0,5 − 0,0 = 15,0; cible T(3) = 15 (écart +0,0).",USAF — flotte télépilotée,False
USA-054,États-Unis,MQ-9A Reaper — Relais autonome,Appareil,Drone armé,3,8,1,2,"Attaque 1 — frappe télépilotée. **Réseau —** au déploiement, piochez une carte puis défaussez une carte.","V = 8 + 1,5×1 + 2,5×2 + 0,0 + 1,0 − 0,0 = 15,5; cible T(3) = 15 (écart +0,5).",USAF — flotte télépilotée,False
USA-055,États-Unis,P-8A Poseidon — Patrouille maritime,Appareil,Patrouille maritime,5,10,4,2,"Attaque 4 — attaque antinavire. Au déploiement, choisissez un Soutien adverse; son texte est sans effet jusqu’à la fin du tour.","V = 10 + 1,5×4 + 2,5×2 + 0,0 + 1,5 − 0,0 = 22,5; cible T(5) = 23 (écart -0,5).",US Navy — aviation de patrouille,False
USA-056,États-Unis,P-8A Poseidon — Protection du groupe aéronaval,Appareil,Patrouille maritime,5,10,5,1,Attaque 5 — défense de flotte. **Agile.** **Réseau —** cet Appareil gagne +1 PV tant que vous contrôlez un autre Appareil maritime.,"V = 10 + 1,5×5 + 2,5×1 + 1,0 + 1,5 − 0,0 = 22,5; cible T(5) = 23 (écart -0,5).",US Navy — aviation de patrouille,False
USA-057,États-Unis,MQ-4C Triton — Patrouille sans équipage,Appareil,Drone maritime ISR,4,10,3,1,"Attaque 3 — munition guidée. **Décollage rapide.** Si cet Appareil est détruit pendant une Interception, regardez la première carte de votre deck; vous pouvez la placer dessous.","V = 10 + 1,5×3 + 2,5×1 + 2,0 + 0,5 − 0,0 = 19,5; cible T(4) = 19 (écart +0,5).",US Navy — aviation de patrouille,False
USA-058,États-Unis,MQ-4C Triton — Relais autonome,Appareil,Drone maritime ISR,4,10,2,2,"Attaque 2 — frappe télépilotée. **Réseau —** au déploiement, piochez une carte puis défaussez une carte.","V = 10 + 1,5×2 + 2,5×2 + 0,0 + 1,0 − 0,0 = 19,0; cible T(4) = 19 (écart +0,0).",US Navy — aviation de patrouille,False
USA-059,États-Unis,MH-60R Seahawk — Patrouille maritime,Appareil,Hélicoptère maritime,4,8,3,2,"Attaque 3 — attaque antinavire. Au déploiement, choisissez un Soutien adverse; son texte est sans effet jusqu’à la fin du tour.","V = 8 + 1,5×3 + 2,5×2 + 0,0 + 1,5 − 0,0 = 19,0; cible T(4) = 19 (écart +0,0).",US Navy — Carrier Air Wing,False
USA-060,États-Unis,MH-60R Seahawk — Protection du groupe aéronaval,Appareil,Hélicoptère maritime,4,8,4,1,Attaque 4 — défense de flotte. **Agile.** **Réseau —** cet Appareil gagne +1 PV tant que vous contrôlez un autre Appareil maritime.,"V = 8 + 1,5×4 + 2,5×1 + 1,0 + 1,5 − 0,0 = 19,0; cible T(4) = 19 (écart +0,0).",US Navy — Carrier Air Wing,False
USA-061,États-Unis,MH-60S Seahawk — Insertion rapide,Appareil,Hélicoptère de soutien,3,6,2,2,Attaque 2 — autoprotection. **Décollage rapide.** Cet Appareil ne peut pas accomplir de Mission le tour où il est déployé.,"V = 6 + 1,5×2 + 2,5×2 + 2,0 + 0,5 − 1,0 = 15,5; cible T(3) = 15 (écart +0,5).",US Navy — Carrier Air Wing,False
USA-062,États-Unis,MH-60S Seahawk — Relais de terrain,Appareil,Hélicoptère de soutien,3,7,3,1,"Attaque 3 — escorte légère. Au déploiement, si vous contrôlez un Soutien, piochez une carte puis défaussez une carte.","V = 7 + 1,5×3 + 2,5×1 + 0,0 + 1,0 − 0,0 = 15,0; cible T(3) = 15 (écart +0,0).",US Navy — Carrier Air Wing,False
USA-063,États-Unis,MV-22B Osprey — Insertion rapide,Appareil,Tiltrotor d’assaut,4,8,3,2,Attaque 3 — autoprotection. **Décollage rapide.** Cet Appareil ne peut pas accomplir de Mission le tour où il est déployé.,"V = 8 + 1,5×3 + 2,5×2 + 2,0 + 0,5 − 1,0 = 19,0; cible T(4) = 19 (écart +0,0).",USMC — opérations distribuées,False
USA-064,États-Unis,MV-22B Osprey — Relais de terrain,Appareil,Tiltrotor d’assaut,4,10,4,1,"Attaque 4 — escorte légère. Au déploiement, si vous contrôlez un Soutien, piochez une carte puis défaussez une carte.","V = 10 + 1,5×4 + 2,5×1 + 0,0 + 1,0 − 0,0 = 19,5; cible T(4) = 19 (écart +0,5).",USMC — opérations distribuées,False
USA-065,États-Unis,KC-130J Super Hercules — Pont aérien de carburant,Appareil,Ravitailleur tactique,4,14,1,1,"Attaque 1 — autoprotection. Au déploiement, redressez une Ressource.","V = 14 + 1,5×1 + 2,5×1 + 0,0 + 1,0 − 0,0 = 19,0; cible T(4) = 19 (écart +0,0).",USMC — opérations distribuées,False
USA-066,États-Unis,KC-130J Super Hercules — Ravitaillement en orbite,Appareil,Ravitailleur tactique,4,11,1,2,"Attaque 1 — écran de soutien. **Réseau —** quand cet Appareil accomplit une Mission, un autre Appareil gagne +1 Puissance jusqu’à la fin du tour.","V = 11 + 1,5×1 + 2,5×2 + 0,0 + 1,5 − 0,0 = 19,0; cible T(4) = 19 (écart +0,0).",USMC — opérations distribuées,False
USA-067,États-Unis,AH-1Z Viper — Chasse aux drones,Appareil,Hélicoptère d’attaque,4,8,4,1,"Attaque 4 — canon et missiles. **Barrage 1.** Contre un Appareil de coût 2 ou moins, cet Appareil gagne +1 Puissance.","V = 8 + 1,5×4 + 2,5×1 + 1,5 + 1,0 − 0,0 = 19,0; cible T(4) = 19 (écart +0,0).",USMC — aviation H-1,False
USA-068,États-Unis,AH-1Z Viper — Appui rapproché,Appareil,Hélicoptère d’attaque,4,8,3,2,"Attaque 3 — attaque de précision. **Agile.** Après une Mission, vous pouvez déplacer un Verrouillage vers un autre Appareil adverse.","V = 8 + 1,5×3 + 2,5×2 + 1,0 + 1,0 − 0,0 = 19,5; cible T(4) = 19 (écart +0,5).",USMC — aviation H-1,False
USA-069,États-Unis,UH-1Y Venom — Insertion rapide,Appareil,Hélicoptère utilitaire,3,6,2,2,Attaque 2 — autoprotection. **Décollage rapide.** Cet Appareil ne peut pas accomplir de Mission le tour où il est déployé.,"V = 6 + 1,5×2 + 2,5×2 + 2,0 + 0,5 − 1,0 = 15,5; cible T(3) = 15 (écart +0,5).",USMC — aviation H-1,False
USA-070,États-Unis,UH-1Y Venom — Relais de terrain,Appareil,Hélicoptère utilitaire,3,7,3,1,"Attaque 3 — escorte légère. Au déploiement, si vous contrôlez un Soutien, piochez une carte puis défaussez une carte.","V = 7 + 1,5×3 + 2,5×1 + 0,0 + 1,0 − 0,0 = 15,0; cible T(3) = 15 (écart +0,0).",USMC — aviation H-1,False
USA-071,États-Unis,AH-64E Apache Guardian — Chasse aux drones,Appareil,Hélicoptère d’attaque,5,10,5,1,"Attaque 5 — canon et missiles. **Barrage 1.** Contre un Appareil de coût 2 ou moins, cet Appareil gagne +1 Puissance.","V = 10 + 1,5×5 + 2,5×1 + 1,5 + 1,0 − 0,0 = 22,5; cible T(5) = 23 (écart -0,5).",US Army — brigade d’aviation,False
USA-072,États-Unis,AH-64E Apache Guardian — Appui rapproché,Appareil,Hélicoptère d’attaque,5,10,4,2,"Attaque 4 — attaque de précision. **Agile.** Après une Mission, vous pouvez déplacer un Verrouillage vers un autre Appareil adverse.","V = 10 + 1,5×4 + 2,5×2 + 1,0 + 1,0 − 0,0 = 23,0; cible T(5) = 23 (écart +0,0).",US Army — brigade d’aviation,False
